Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
SYNGENTA MAROC," importation, distribution et commercialisation de produits pour la protection des plantes et produits phytosanitaires.", Angle Avenue Mehdi Ben Barka Et Rue Rue Eugenia 2 Eme Etage Hay Ryad,Rabat,33.956763 : -6.860459,100771,Tribunal de Rabat,1524128000018.0,,societe-syngenta-maroc-70042, 55 000 000 
SUPRATOURS, agence de voyage, Angle Avenue De La Victoire Et Rue De Mohammed Abdou Agdal,Agdal Riyad (AR),34.011192 : -6.843733,63199,Tribunal de Rabat,78606000095.0,,societe-supratours-191351, 160 000 000 
ACCOR GESTION MAROC, gestion et exploitation hotelieres, 33 Lot. Lacolline Ii Route Nouaceur Sidi Maarou,Casablanca,33.531444 : -7.635485,93451,Tribunal de Casablanca,1535902000086.0,,societe-accor-gestion-maroc-95291, 1 000 000 
DELMA D'INVESTISSEMENTS TOURISTIQUES (DELMA)," promotion immobiliere ((projet touristiques et hoteliers) - industrie agroalimentaire ""olives"""," 100 Avenue Des Far, 20000",Casablanca,33.58694440000001 : -7.6111111000000164,96599,Tribunal de Casablanca,1526346000078.0,,societe-delma-d-investissements-touristiques-98563, 170 408 896 
GARAGE LAFAYETTE TANGER, reparation mecanique de vehicules automobiles - commerce de vehicules et pieces detachees, 27 Rue Mohamed Abdou Ex Samuel Peppys,Tanger-Medina (AR),35.779138 : -5.813331,2445,Tribunal de Tanger,1535999000086.0,,societe-garage-lafayette-tanger-34739, 5 500 000 
CIE CHERIFIENNE DE CHOCOLATERIE, fabrication de chocolats et de bonbons - fabrication de confiserie," 174 Bd Abdelkrim Al Khatib Ex , Route Des Ouled Ziane Derb El Kabir",Casablanca,33.585825 : -7.59945,4477,Tribunal de Casablanca,1514332000088.0,,societe-cie-cherifienne-de-chocolaterie-5795, 60 000 000 
DEXYS CAPITAL (COMANER MAROC), importation de produits agroalimentaires, 119 Av Des Far Espace Sofia,Casablanca,33.57386 : -7.55165,37349,Tribunal de Casablanca,1647632000076.0,,societe-dexys-capital-62474, 4 000 000 
R R I MAROC, casino,,,31.611225 : -7.989436,5683,Tribunal de Marrakech,1542255000051.0,,societe-r-r-i-maroc-9015, 12 435 000 
SOCIETE DESIGN CONSTRUCTIONS OF ROADS BUILDINGS (D&CRB), travaux routiere et construction de batiment," 15, Rue Saad Zaghloul",Oujda (M),34.675511 : -1.922273,14509,Tribunal de Oujda,1543949000097.0,,societe-societe-design-constructions-of-roads-buildings-21629, 50 000 000 
SOCIETE MAGHREBINE DE MONETIQUE (S2M)," prestat. de produits, services ds le domaine des cartes de paiement, cartes d'identification, celui du transf. electro. de fonds pour tout organisme",,,33.52695 : -7.641,43625,Tribunal de Casablanca,83985000071.0,,societe-societe-maghrebine-de-monetique-56145, 40 603 500 
BERICOLOR (BERICOLOR), fabrication de tissus - teinture de tissus - tissage, Km 9 Route D'el Jadida Lissasfa,Casablanca,33.532301 : -7.6734,64467,Tribunal de Casablanca,84519000009.0,,societe-bericolor-47888, 50 000 000 
MAROCAINE DE GRANDE DISTRIBUTION," la promotion immobiliere, l'acquisition, l'edification, l'exploitation et l'administration de tous immeubles", 57 Bd Abdelmoumen Res Al Hadi Rue Salim Cherkaoui N A 5eme Etg,Casablanca,33.58012 : -7.6249,168693,Tribunal de Casablanca,42811000052.0,,societe-marocaine-de-grande-distribution-120663, 6 000 000 
TIKIDA DUNES, hotels et residences., Chemin Des Dunes Secteur Touristique,Agadir (M),30.407018 : -9.598542,2171,Tribunal de Agadir,231735000043.0,,societe-tikida-dunes-32550, 75 000 000 
CDG CAPITAL GESTION, gestion de portefeuille et capital social," 101-103, Bd Al Massira Alkhadra 3eme Etage",Casablanca,33.5875 : -7.64221,111939,Tribunal de Casablanca,1431541000080.0,,societe-cdg-capital-gestion-121962, 1 000 000 
GROUPEMENT INTER PHARMACEUTIQUE MAROCAIN (GIPHAR MAROC), vente de produits pharmaceutiques," 5, Rte De La Continentale R.p. 36, Lotiss. Mabrouka Ain Sebaa",Ain-Sebaa (AR),33.601038 : -7.50876,73455,Tribunal de Casablanca,1572971000069.0,,societe-groupement-inter-pharmaceutique-marocain-44898, 5 508 000 
SOCIETE MAROCO TUNISIENNE PNEUS AMINE (SMT PNEUS AMINE), vente de pneumatiques et accessoires automobiles," Km 9,4 Ancienne Route De Rabat Ain Sebaa",Ain-Sebaa (AR),33.605175 : -7.55149,87845,Tribunal de Casablanca,1535317000070.0,,societe-societe-maroco-tunisienne-pneus-amine-87970, 55 943 000 
SOCIETE MAROCAINE DU THE ET DU SUCRE (SOMATHES)," importation, conditionnement et commercialisation du the et biscuits"," Lotissement 2 Km 15, Zone Industrielle De Bouskoura",Bouskoura,33.420351 : -7.644885,117973,Tribunal de Casablanca,79450000005.0,,societe-societe-marocaine-du-the-et-du-sucre-194381, 32 000 000 
NOUVELLE STE MAROCAINE DE TANNERIE ET DE MEGISSERIE (NOUVELLE SOMATAM), appret et tannage des cuirs et peau," 11, Rue Capitaine Oukili -ex Thiriat Quartier Des Abattoirs.",Casablanca,33.58694440000001 : -7.6111111000000164,28119,Tribunal de Casablanca,1530258000087.0,,societe-nouvelle-ste-marocaine-de-tannerie-et-de-megisserie-8148, 50 000 000 
OMOURA, transport de marchandise - travaux publics, Route De Tanger Km 5,Tetouan (M),35.572464 : -5.375723,3169,Tribunal de Tetouan,1543871000069.0,,societe-omoura-100081, 26 500 000 
LA PERLE ELECTRONIQUE, commerce de materiels electromenagers, Rue Ibnou Laknane Imm A Angle Jilali Ghafiri Bp 20250 Ain Sebaa Hay Mohammadi,Casablanca,33.599331 : -7.549994,87233,Tribunal de Casablanca,1542171000088.0,,societe-la-perle-electronique-83513, 40 000 000 
IBM APPLICATIONS & TECHNOLOGIES, activites informatiques - developpement informatique - assistance en matiere de prestation logistique - operations de gestion comptable,,,33.58694440000001 : -7.6111111000000164,127901,Tribunal de Casablanca,1536431000062.0,,societe-ibm-applications-technologies-139013, 46 212 800 
CEROSA, commerce de gros d'appareils sanitaires et carrelage, Bd Modibokeita Riad El Ali N610,Casablanca,33.562974 : -7.602467,82095,Tribunal de Casablanca,1589125000023.0,,societe-cerosa-73797, 8 000 000 
GDIRAGRI, vente en demi-gros de produits chimiques pour le secteur agricole, Lot. T Avenue Massa Pres De Souk Hebdomadaire Hay Sidi Said,Biougra (M),30.217343 : -9.371138,2545,Tribunal de Inzegane,1536569000022.0,,societe-gdiragri-152450, 45 000 000 
SOCIETE CHERIFIENNE DE MATERIEL INDUSTRIEL ET FERROVIAIRE (SCIF), fabrication ferroviaire., Allee Des Cactus Ain Sebaa 20250,Ain-Sebaa (AR),33.606238 : -7.530777,6407,Tribunal de Casablanca,1536813000030.0,,societe-societe-cherifienne-de-materiel-industriel-et-ferroviaire-4182, 44 232 525 
VIGANO AUTO, commerce de vehicules automobiles - commerce d'equipements automobiles," 1 Lot 68b Rue 809 Q,i Sidi Brahim Fes -zone Industrielle Ain Chkef Fes",Fes,34.0271355112 : -4.98215929071,24887,Tribunal de Fes,1524071000005.0,,societe-vigano-auto-155501, 8 000 000 
MAFODER FONDERIE, fonderie de fontes et aciers - fabrication et commercialisation de pieces en fonte et en acier,,,33.54182 : -7.68278,44295,Tribunal de Casablanca,1527492000079.0,,societe-mafoder-fonderie-58019, 20 000 000 
STANDARD EQUIPE AUTO (SQUIPAUTO), concessionnaire de vehicules automobiles, 111 Bd Med V,El-Jadida,33.2333333 : -8.5,699,Tribunal de Eljadida,1573335000038.0,,societe-standard-equipe-auto-21477, 10 000 000 
MAJMAA EL KHEIR," -la promotion immobiliere ; -l'achat, l'acquisition sous toutes formes de proprietes baties ou non baties, de terrains agricoles, urbains ou autres ; -l'execution sur lesdites proprietes de tous amenagements ou toutes constructions ; -l'exploitation de toutes proprietes agricoles, urbaines ou autres ."," Avenue Mohammed Vi, Residence Nakhil <<a>>, Appt. 14, 3eme Etage Gueliz",Gueliz (AR),31.638283 : -8.02146,32667,Tribunal de Marrakech,1439291000059.0,,societe-majmaa-el-kheir-216469, 50 000 000 
UNION MAROCAINE D'EQUIPEMENT (UMAREQ), importateur et distributeur et installateur de tous produits electromenagers electroniques et industriels, Bd Hassan Ii,Mohammedia,33.6833333 : -7.383333300000004,25165,Tribunal de Mohammedia,1525071000068.0,,societe-union-marocaine-d-equipement-74482, 18 000 000 
COOPER ORIENTAL MEDICA, grossiste en produits pharmaceutiques., Zone Industrielle Lot N 109,Oujda (M),34.686527 : -1.909366,13723,Tribunal de Oujda,1534776000030.0,,societe-cooper-oriental-medica-24947, 13 680 000 
TIMAC AGRO MAROC, importation et commercialisation des engrais et fertilisants," Lotissement Foudadi Lot Ndeg 3, Rue Bir Hakeim Route De L'oasis, 2eme Etage Ain Chock",Ain-Chock (AR),33.549688 : -7.635093,101251,Tribunal de Casablanca,1596272000084.0,,societe-timac-agro-maroc-106516, 15 000 000 
ELECTRO SERGHINI (ELSER), commerce de gros d'articles de menage, Mag. Rdc Imm. Aladarissa Rue Oujda V.n,Meknes (M),33.895 : -5.554722200000015,21933,Tribunal de Meknes,86385000067.0,,societe-electro-serghini-118276, 24 000 000 
FOUNDEVER RABAT, concessionnaire de services telephoniques, 32 Av Oqba Place Ibn Yassine Agdal,Agdal Riyad (AR),34.005059 : -6.847057,59515,Tribunal de Rabat,219746000057.0,,societe-sitel-crm-153218, 300 000 
POLYDESIGN SYSTEMS," desing, fabrication, assemblage, distribution et la vente de produits synthetique en plastique ou en tissu pour leur utilisation dans l'espace passager ou bagage de vehicules",,,35.702687 : -5.899702,17155,Tribunal de Tanger,1526213000080.0,,societe-polydesign-systems-113605, 21 000 000 
GRANDS MOULINS DE BENI ENSAR, minoteries industrielles, Route De Mellilia Ndeg 1 Beni Ensar,Nador,35.256193 : -2.930668,266,Tribunal de Nador,200428000074.0,,societe-blancaflor-25937, 16 000 000 
ACCENTURE SERVICES MOROCCO, developpement d'applications informatique," Immeuble Anfa Place 409, 2eme Etage",Casablanca,33.58694440000001 : -7.6111111000000164,87331,Tribunal de Casablanca,1538219000092.0,,societe-accenture-services-morocco-85449, 16 000 000 
KAYE ALUMINIUM TANGER, transformation et commercialisation d'aluminium pour les batiments et l'industrie," Hay Bouguenoun, Route De Rabat Ndeg 1, Km 46",Assilah (M),35.464498 : -6.0379,49,Tribunal de Asilah,67348000063.0,,societe-kaye-aluminium-tanger-128252, 7 031 000 
STE MAGHREBINE DU SUD FLEUR GAZ (SOMASUD), marchand de gaz comprime en gros, Km 4 Route De Sefrou Mont Fleury 2 Route 302,Fes-Medina (AR),34.013963 : -4.981927,15451,Tribunal de Fes,1539114000080.0,,societe-ste-maghrebine-du-sud-fleur-gaz-28270, 14 500 000 
OMNIUM AGRICOLE DU SOUSS," production, importation, exportation, achat et vente de plants - vente et plantation des legumes et agrumes marchand importateur vendant en gros, md de produits agricoles et chimiques (semences et materiels). prestations de services ; - achats, ventes, production, importation et exportation des auxiliaires (insectes utiles) ; - agents exotiques de lutte biologique ; - importation du systeme d'irrigation goute a goute, tuyaux en pvc, polyethylene et gaine plastique, programmateur pour irrigation, filet et plastique pour les serres et autres.", Tassila Iii Zone Industrielle,Agadir (M),30.390311 : -9.527207,279,Tribunal de Agadir,1459837000060.0,,societe-omnium-agricole-du-souss-32883, 20 000 000 
LES RESIDENCES DU GOLF DE BOUSKOURA, promotion immobiliere gestion hoteliere," 277, 279 Boulevard Zerktouni,",Casablanca,33.59287 : -7.63729,157291,Tribunal de Casablanca,1604869000086.0,,societe-les-residences-du-golf-de-bouskoura-182224, 30 000 000 
MAYFAIR DEVELOPMENT NORD," la societe a pour objet soit pour son compte soit pour le compte de tiers notamment : la vente, l'achat de tous biens immobiliers, leur exploitation par tous les moyens et, en particulier, l'exercice de la promotion immobiliere soit par la construction ou le lotissement ou autrement, conformement aux textes en vigueur ou ceux qui pourraient etre promulgues ulterieurement ; - participer a la constitution de toutes societes immobilieres ou prendre toutes participations dans des societes de cette nature ; - et plus generalement, toutes operations industrielles, commerciales, financieres, mobilieres et immobilieres se rattachant, directement ou indirectement, en tout ou partie a l'une ou l'autre des operations visees ci-dessus de maniere a faciliter, favoriser ou developper l'activite de la societe ainsi que toutes participation, directes ou indirectes, sous quelque forme que ce soit, dans des entreprises poursuivant des activites similaires ou connexes. siege social : le siege social est"," Residence Dream Hill, Villa N 17 Nouinouich Fahs-anjra Cercle Du Fahs Caidat Al Bahraoyine, Commune Bahraoyine",Tanger-Medina (AR),35.774495 : -5.81018,32319,Tribunal de Tanger,1741621000087.0,,societe-mayfair-development-nord-192913, 100 000 
LES GRANDS MOULINS OUARZAZATE (GMO), minoterie, Quartier Industriel,Ouarzazate,30.919091 : -6.903823,65,Tribunal de Ouarzazate,1529542000019.0,,societe-les-grands-moulins-ouarzazate-12914, 10 000 000 
STE D'ETUDES ET DE REPRESENTATIONS INDUSTRIELLES AU MAROC (SERIMA)," commerce, import export de tous materiels industriels - distribution acier et outillage", Angle Bd. Moulay Ismail Et Rue Maamora,Casablanca,33.5742 : -7.598725,20257,Tribunal de Casablanca,1556129000067.0,,societe-ste-d-etudes-et-de-representations-industrielles-au-maroc-72486, 20 000 000 
DEWHIRST LADIESWEAR MOROCCO (DLM)," confection, fabrication des articles d'habillement"," Bd Mohamed V, Residence Dos Mares 1, 6eme Etage Ndeg 60",Tanger-Medina (AR),35.775567 : -5.80062,13181,Tribunal de Tanger,,,societe-dewhirst-ladieswear-morocco-89026, 5 000 000 
LUMAFRIC, entreprise generale d'electricite - travaux d'installation electrique," 3, Rue Des Alouettes, Oasis",Casablanca,33.55739 : -7.6321,32275,Tribunal de Casablanca,1525665000035.0,,societe-lumafric-60574, 10 000 000 
SOCIETE DE VINIFICATION ET DE COMMERCIALISATION DU MAROC (SVCM)," production et commercialisation d'huile d'olive, de vins - vinification, conditionnement et commercialisation", Ex. Up 5109 Sebaa Ayoun Route P.i De Fes.,Oued Jdida,33.975224 : -5.384228,21063,Tribunal de Meknes,1516853000018.0,,societe-societe-de-vinification-et-de-commercialisation-du-maroc-102472, 117 354 000 
SIALCO (SIALCO), conserves alimentaires - conserves de poissons., Quartier Industriel D'anza Cote Mer Commune Urbaine D'anza,Agadir (M),31.12001849999999 : -6.067919399999937,5059,Tribunal de Agadir,87612000015.0,,societe-sialco-33914, 34 875 000 
TANGER SAKANE, promotion immobiliere, 27 Et 28 Bd My Youssef Residence Yasmine Ii 3eme Etage,Tanger-Medina (AR),35.770621 : -5.809916,28097,Tribunal de Tanger,99721000059.0,,societe-tanger-sakane-174236, 285 246 800 
STE DE CONSTRUCTION ETACHEITE ET REVETEMENT SOL (CERS)," travaux de construction, etancheite, revetement de sol - travaux divers", Rue Mohammed Belhassan Ouazzani Villa N 2 Agdal,Agdal Riyad (AR),33.994769 : -6.856147,70087,Tribunal de Rabat,1526315000042.0,,societe-ste-de-construction-etacheite-et-revetement-sol-22782, 6 000 000 
RAVAGO CHEMICALS MOROCCO, commerce de gros de produits chimiques," 20/22, Lot Attaoufik, Route Nouaceur, Angle Rue 1, Ndeg 63, Sidi Maarouf, Immeuble Sans Pareil",Casablanca,33.52482 : -7.65048,133271,Tribunal de Casablanca,1540711000029.0,,societe-ravago-chemicals-morocco-148958, 15 100 000 
FROIDEL," distribution d'equipements et pieces de rechange dans le domaine de la refrigeration, ventilation et climatisation.",,,33.59255 : -7.59174,39687,Tribunal de Casablanca,1532974000087.0,,societe-froidel-58508, 47 000 000 
STE NOUVELLE DE LA BISCUITERIE DE MEKNES (SNBM), fabrication et commerce de biscuits de tous produits, Km 11. 500 Route 110 Bd Chefchaouni Ain Sebaa,Ain-Sebaa (AR),33.607914 : -7.536169,30785,Tribunal de Casablanca,204910000019.0,,societe-ste-nouvelle-de-la-biscuiterie-de-meknes-63390, 88 060 000 
LIBRAIRIE PAPETERIE DES ECOLES A.MOYNIER ET CIE, imprimerie papeterie librairie editions," 12, Avenue Hassan Ii",Casablanca,33.59419 : -7.61833,10747,Tribunal de Casablanca,203350000041.0,,societe-librairie-papeterie-des-ecoles-a-moynier-et-cie-70594, 2 000 000 
BOURSE DE CASABLANCA, gestion et fonctionnement boursier., Angle Avenue Des Forces Armees Royales Et Rue Arachide Mohamed,Casablanca,33.596517 : -7.617611,79057,Tribunal de Casablanca,102864000073.0,,societe-bourse-de-casablanca-70446, 387 517 900 
MAHR DE COMMERCIALISATION ET DE DISTRIBUTION D'APPROVISIONNEMENT (SMCDA ), commercialisation et distribution de cafeine et chewing gum," Hay Hassani, Rue 22 Ndeg3 Missimi",Casablanca,33.58694440000001 : -7.6111111000000164,88217,Tribunal de Casablanca,1612448000026.0,,societe-mahr-de-commercialisation-et-de-distribution-d-approvisionnement-86839, 3 000 000 
STE KRAFESS AGRICOLE, md de machines agricoles," Oulad Tayeb Al Oulya Saiss, Ahoize",Oulad Tayeb,33.964545 : -4.99761,27969,Tribunal de Fes,1525890000071.0,,societe-ste-krafess-agricole-195962, 2 150 000 
DISTRAL MAROC, commerce et distribution de peintures,,,34.01366 : -6.848268,50221,Tribunal de Rabat,69642000011.0,,societe-distral-maroc-97178, 30 000 000 
LES GRANDS MOULINS DE TIZNIT, minoterie industrielle - semoulerie, Km 1 Rte De Tafraout Bp 76,Tiznit (M),29.705143 : -9.739447,1,Tribunal de Tiznit,1546194000010.0,,societe-les-grands-moulins-de-tiznit-158, 46 000 000 
CGI TECHNOLOGIES ET SOLUTIONS MAROC," outsourcing, integration, maintenance de logiciels."," Nearshore, Park 1100,boulevard El Qods, Shore 2 , Ndeg201 & 202, Shore 5 , Ndeg 201 & 202, Quartier Sidi Maarouf",Casablanca,33.52695 : -7.641,147671,Tribunal de Casablanca,229510000075.0,,societe-cgi-technologies-et-solutions-maroc-168269, 300 000 
COMPAGNIE MAROCAINE DES BARYTES (COMABAR)," exploitation miniere, extraction et valorisation de barytine et bentonite", 33 Av Tarik Ibn Ziad,Rabat,34.015049 : -6.83272,27629,Tribunal de Rabat,1535086000002.0,,societe-compagnie-marocaine-des-barytes-12124, 11 604 800 
SOCIETE CHERIFIENNE D'ENGRAIS ET DE PRODUITS CHIMIQUES (SCE)," traitement de tous minerais - fabrication d'engrais, fertilisants, graines et semences - vente de produits chimiques, produits d'entretien et produits phytosanitaires."," 108, Boulevard Ambassadeur Ben Aicha Roche Noires",Assoukhour Assawda (AR),33.59949 : -7.58994,6637,Tribunal de Casablanca,1524568000069.0,,societe-societe-cherifienne-d-engrais-et-de-produits-chimiques-473, 61 644 800 
